domain,x,y,z,r,phi_rad,u_pred,v_pred,w_pred,p_pred,T_pred,case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps
hot_fluid,0.0021927953,0.00090828567,-0.205,0.0023734644,0.39269912,-0.03562615,0.052576832,-0.5816741,0.0,299.91446,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0026856146,0.0011124181,-0.205,0.0029068883,0.39269912,-0.04436474,0.07077115,-0.53261137,0.0,300.16666,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0031010807,0.0012845098,-0.205,0.0033565855,0.39269912,-0.079019554,0.0020562708,-0.5324616,0.0,300.11905,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0034671135,0.0014361255,-0.205,0.0037527767,0.3926991,-0.033316497,-0.016922116,-0.34115323,0.0,299.98895,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037980329,0.0015731968,-0.205,0.004110961,0.39269912,-0.02113961,0.087840885,-0.3899719,0.0,299.78302,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004102344,0.0016992467,-0.205,0.0044403453,0.3926991,-0.036475524,0.033908244,-0.38307044,0.0,299.96915,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0043855906,0.0018165713,-0.205,0.004746929,0.39269912,-0.044718523,-0.0056118523,-0.3097665,0.0,299.8198,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004651621,0.0019267646,-0.205,0.0050348784,0.3926991,-0.028410967,-0.0058870446,-0.22890699,0.0,299.99304,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0049032397,0.0020309885,-0.205,0.0053072283,0.3926991,-0.022478558,-0.014141878,-0.16941915,0.0,299.6109,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0051425607,0.0021301187,-0.205,0.0055662673,0.39269912,-0.010796227,0.00902296,-0.15142065,0.0,299.788,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0053712293,0.0022248363,-0.205,0.0058137765,0.39269912,-0.0056557236,0.018628795,-0.1335391,0.0,299.6006,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0055905525,0.0023156828,-0.205,0.0060511706,0.39269912,-0.008819407,0.0032049858,-0.093340985,0.0,299.84857,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005801591,0.002403098,-0.205,0.006279597,0.39269912,-0.007844357,-0.0053499043,-0.04082928,0.0,300.58347,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.006005217,0.0024874425,-0.205,0.0064999997,0.39269912,-9.89845e-09,-7.2294934e-09,-6.189043e-08,0.0,300.26117,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0014534441,0.0008391464,-0.205,0.0016782928,0.5235988,0.042350143,0.028996376,-0.6096035,0.0,300.70407,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0020554806,0.0011867323,-0.205,0.0023734644,0.5235988,-0.07130608,0.074125834,-0.53788614,0.0,300.09818,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0025174392,0.0014534442,-0.205,0.0029068885,0.5235988,0.027301176,0.02260604,-0.52576166,0.0,299.9552,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0029068883,0.0016782928,-0.205,0.0033565855,0.5235988,-0.047525417,0.046688195,-0.4589028,0.0,300.02066,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0032499998,0.0018763883,-0.205,0.0037527764,0.5235988,-0.059186794,0.03827479,-0.4003241,0.0,300.14383,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0035601968,0.0020554806,-0.205,0.004110961,0.5235988,-0.01920813,-0.0052436693,-0.3815029,0.0,299.96652,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0038454519,0.0022201727,-0.205,0.0044403453,0.5235988,-0.013862297,-0.012252313,-0.33788365,0.0,299.787,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004110961,0.0023734646,-0.205,0.004746929,0.5235988,-0.014801046,0.007243478,-0.28960586,0.0,300.17203,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0043603326,0.0025174392,-0.205,0.0050348784,0.5235988,0.01341169,0.033991,-0.21205968,0.0,300.49643,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0045961943,0.0026536142,-0.205,0.005307228,0.5235988,0.0024150736,0.03308027,-0.1982252,0.0,299.34363,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0048205294,0.0027831339,-0.205,0.0055662678,0.5235988,-0.015198512,0.035896864,-0.18834738,0.0,299.8742,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0050348784,0.0029068885,-0.205,0.005813777,0.5235988,-0.007626184,0.030621754,-0.13908814,0.0,300.48822,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0052404674,0.0030255853,-0.205,0.0060511706,0.5235988,-0.005881421,0.01965763,-0.09215034,0.0,299.87466,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0054382905,0.0031397985,-0.205,0.006279597,0.5235988,-0.0006393881,0.006509628,-0.042504568,0.0,299.89752,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005629165,0.00325,-0.205,0.0065,0.5235988,0.0,0.0,-0.0,0.0,300.1513,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0013314792,0.0010216798,-0.205,0.0016782928,0.65449846,-0.00052370713,-0.003810082,-0.6473648,0.0,300.07748,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0018829961,0.0014448737,-0.205,0.0023734646,0.65449846,-0.010916929,0.0888879,-0.50594205,0.0,300.24863,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0023061896,0.0017696016,-0.205,0.0029068885,0.65449846,-0.053420838,0.07093727,-0.5651083,0.0,300.44595,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0026629583,0.0020433597,-0.205,0.0033565855,0.65449846,-0.05296281,0.06263238,-0.48632646,0.0,300.5414,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0029772779,0.0022845457,-0.205,0.0037527767,0.65449846,-0.039889023,0.05501768,-0.42866609,0.0,299.62692,case_016,311.0,283.5,0.6,1.4
